tur-fi-101 | T.8.3.9 | z1 | k1 | Aşağıdaki cümlelerin hepsinde "yoğurmak" fiilinden türemiş bir sözcük vardır. Bu cümlelerin hangisinde söz konusu sözcük, işin ad… | ✓Mutfakta hamur yoğurmak beni çok dinlendiriy…
tur-fi-102 | T.8.3.9 | z1 | k1 | (I) Yeni defter almak için kırtasiyeye uğradık. (II) Raftaki kalemlerin hepsini tek tek denedim. (III) Kasada bekleyen müşteriler… | ✓III
tur-fi-103 | T.8.3.9 | z1 | k1 | (I) Antrenör, bizden düzenli çalışmamızı istedi. (II) Sahaya ilk çıkan takım uzun uzun alkışlandı. (III) Bu maçta kazanma isteğim… | ✓IV
tur-fi-104 | T.8.3.9 | z1 | k1 | (I) Sabaha karşı yağan kar, yolları bembeyaz yaptı. (II) Rüzgâr dinince hava biraz daha ısındı. (III) Bugün gökyüzü sabahtan beri… | ✓III
tur-fi-105 | T.8.3.9 | z1 | k1 | Aşağıdaki seçeneklerin her birinde bir cümle ve o cümledeki fiilimsinin türü birlikte verilmiştir. Bu eşleştirmelerden hangisi ya… | ✓Sırasını bekleyen çocuklar içeri alındı. (za…
tur-fi-106 | T.8.3.9 | z1 | k1 | Aşağıdaki tabloda bahçe işleriyle ilgili dört cümle verilmiştir. Cümlelerin her birinde bir fiilimsi vardır. Buna göre numaralanm… | ✓III
tur-fi-107 | T.8.3.9 | z2 | k1 | Kek yapmanın en keyifli yanı, malzemeleri tek tek ölçmektir. Tarifte yazan sırayı bozmadan ilerlersen sonuç hep güzel olur. Unu e… | ✓7
tur-fi-108 | T.8.3.9 | z2 | k1 | (I) Kardeşimin odasını toplamaması annemi çok üzdü. (II) Akşam yemeğine gelmeme sebebini kimse sormadı. (III) Bulaşıkları yıkamay… | ✓IV
tur-fi-109 | T.8.3.9 | z2 | k1 | (I) Bu hafta sınıfça tiyatroya gideceğiz. (II) Yarın yapılacak sınav için herkes hazırlandı. (III) Öğretmenimiz haftaya anlatacak… | ✓I
tur-fi-110 | T.8.3.9 | z2 | k1 | (I) Öğretmen sorulardan birini tahtaya yazıp açıkladı. (II) Deftere düzenli not alanlar konuyu daha iyi anlıyor. (III) Durmadan ç… | ✓IV
tur-fi-111 | T.8.3.9 | z2 | k1 | Kütüphanede çalışmak bende ayrı bir huzur yaratıyor. Sessizlik insanın dikkatini topluyor, saatler çok çabuk geçiyor. Raflar aras… | ✓isim-fiil – zarf-fiil – sıfat-fiil
